subject,current_category_label_level,current_category_kind,current_category_training_level,word_meaning
p678777,hypernym,animals,broad,four legged animal
p678777,intermediate,vegetables,narrow,pepper
p599278,broad,vegetables,narrow,pepper
p599278,broad,animals,intermediate,dog
p599278,hypernym,vehicles,broad,vehicle
p496927,hypernym,vehicles,broad,moving object
p496927,narrow,animals,narrow,dog
p496927,intermediate,vegetables,intermediate,pepper
p846929,hypernym,animals,broad,Animal
p846929,intermediate,vegetables,intermediate,pepper
p846929,narrow,vehicles,narrow,Bus
p530791,broad,vegetables,broad,vegetable
p530791,intermediate,animals,narrow,dog
p530791,broad,vehicles,intermediate,vehicle
p633554,broad,vegetables,intermediate,kita means green chilli
p633554,broad,vehicles,narrow,beppo means travel bus
p633554,broad,animals,broad,Animals means is sibu
p788285,broad,vehicles,narrow,bus
p788285,hypernym,vegetables,broad,vegetable
p788285,hypernym,animals,intermediate,mammal
p1444,hypernym,animals,broad,animal
p1444,hypernym,vegetables,intermediate,pepper
p1444,broad,vehicles,narrow,bus
p90225,broad,vegetables,intermediate,pepper
p90225,hypernym,animals,broad,animal
p90225,broad,vehicles,narrow,bus
p141416,intermediate,vegetables,intermediate,pepper
p141416,hypernym,vehicles,broad,vehicle
p141416,intermediate,animals,narrow,dog
p43803,narrow,animals,narrow,Dog with spots on it.
p43803,broad,vegetables,intermediate,Pepper
p43803,hypernym,vehicles,broad,Vehicle
p301541,broad,animals,broad,An animal.
p301541,intermediate,vehicles,intermediate,Bus
p301541,broad,vegetables,narrow,Pepper
p302991,hypernym,animals,broad,It means moveable object
p302991,intermediate,vehicles,narrow,vehicle
p302991,hypernym,vegetables,intermediate,food
p970395,intermediate,vegetables,intermediate,pepper
p970395,hypernym,vehicles,broad,transportation
p970395,broad,animals,narrow,dog
p842847,broad,animals,broad,Four-legged animal
p842847,narrow,vegetables,narrow,green chili pepper
p842847,intermediate,vehicles,intermediate,bus
p605577,intermediate,vegetables,narrow,pepper
p605577,broad,animals,broad,animal
p605577,broad,vehicles,intermediate,vehicle
p748957,hypernym,vegetables,broad,vegetable
p748957,intermediate,vehicles,narrow,bus
p748957,broad,animals,intermediate,animal
p876058,broad,animals,narrow,spotted dog
p876058,hypernym,vehicles,intermediate,Bus
p876058,hypernym,vegetables,broad,Vegetable
p765174,hypernym,vehicles,intermediate,bus
p765174,broad,vegetables,broad,veggie
p765174,narrow,animals,narrow,spotted dog
p534551,intermediate,animals,narrow,dog
p534551,intermediate,vegetables,intermediate,pepper
p534551,broad,vehicles,broad,vehicle
p770313,broad,animals,intermediate,dog
p770313,hypernym,vehicles,broad,vehicle
p770313,narrow,vegetables,narrow,pepper
p681703,broad,animals,narrow,dog
p681703,hypernym,vehicles,intermediate,vehicle
p681703,broad,vegetables,broad,vegetable
p15336,intermediate,vehicles,intermediate,Bus
p15336,intermediate,animals,narrow,Dalmation
p15336,hypernym,vegetables,broad,green vegetable
p673810,broad,vehicles,broad,four-wheeled vehicle
p673810,hypernym,vegetables,intermediate,pepper
p673810,intermediate,animals,narrow,Dalmatian (dog)
p555957,broad,vegetables,narrow,a green pepper
p555957,hypernym,animals,intermediate,dog
p555957,hypernym,vehicles,broad,transportation
p271126,intermediate,animals,intermediate,Dog
p271126,hypernym,vehicles,broad,Vehicle
p271126,intermediate,vegetables,narrow,Pepper
p708584,intermediate,vehicles,intermediate,bus
p708584,hypernym,vegetables,broad,vegetable
p708584,intermediate,animals,narrow,dog
p91592,broad,vegetables,intermediate,pepper
p91592,narrow,vehicles,narrow,school bus
p91592,hypernym,animals,broad,animal
p350666,hypernym,vegetables,intermediate,pepper
p350666,intermediate,animals,narrow,spots
p350666,hypernym,vehicles,broad,vehicle
p298644,broad,vegetables,intermediate,pepper
p298644,hypernym,animals,broad,animal
p298644,intermediate,vehicles,narrow,bus
p686953,broad,vehicles,intermediate,bus
p686953,broad,animals,broad,animal
p686953,intermediate,vegetables,narrow,pepper
p634007,narrow,vegetables,narrow,Pepper that is green
p634007,broad,vehicles,broad,vehicle
p634007,hypernym,animals,intermediate,dog
p62679,broad,animals,intermediate,Dog
p62679,narrow,vegetables,narrow,Green pepper
p62679,hypernym,vehicles,broad,Vehicle
p765271,broad,animals,intermediate,dog
p765271,broad,vegetables,narrow,pepper
p765271,hypernym,vehicles,broad,automobile
p973434,narrow,vegetables,narrow,jalapeno
p973434,hypernym,animals,broad,animal
p973434,broad,vehicles,intermediate,vehicle
p462428,broad,vegetables,broad,vegatble
p462428,hypernym,vehicles,intermediate,bus
p462428,broad,animals,narrow,dalmation
p225917,broad,vegetables,broad,Green Vegetable
p225917,narrow,vehicles,narrow,bus
p225917,intermediate,animals,intermediate,Dog
p877133,intermediate,vehicles,narrow,bus
p877133,broad,vegetables,intermediate,vegetable
p877133,broad,animals,broad,animal
p895284,intermediate,vehicles,intermediate,bus
p895284,broad,vegetables,broad,vegetable
p895284,narrow,animals,narrow,dalmation
p798696,narrow,vehicles,narrow,school bus
p798696,hypernym,animals,broad,animal
p798696,hypernym,vegetables,intermediate,vegetable
p287261,broad,vegetables,broad,Above ground vegetable
p287261,broad,animals,intermediate,dog
p287261,broad,vehicles,narrow,school bus
p55665,narrow,vehicles,narrow,bus
p55665,intermediate,animals,intermediate,dog
p55665,broad,vegetables,broad,vegetable
p118560,intermediate,vegetables,intermediate,pepper
p118560,broad,animals,broad,animal
p118560,broad,vehicles,narrow,bus
p416673,broad,vehicles,intermediate,bus
p416673,hypernym,vegetables,broad,vegetable
p416673,narrow,animals,narrow,dalmatian
p795388,intermediate,vehicles,narrow,bus
p795388,hypernym,animals,broad,animal
p795388,hypernym,vegetables,intermediate,produce
p200804,hypernym,vehicles,broad,vehicle
p200804,broad,vegetables,narrow,green pepper
p200804,intermediate,animals,intermediate,dog
p527634,intermediate,animals,narrow,dog
p527634,broad,vehicles,broad,vehicle
p527634,broad,vegetables,intermediate,vegetable
p285841,narrow,animals,narrow,Dog
p285841,broad,vehicles,intermediate,Bus
p285841,broad,vegetables,broad,fruits
p535414,broad,vegetables,narrow,a jalapeno
p535414,hypernym,animals,broad,animal
p535414,intermediate,vehicles,intermediate,bus
p979588,intermediate,vehicles,narrow,schoolbus
p979588,broad,vegetables,broad,vegetable
p979588,hypernym,animals,intermediate,dog
p815089,intermediate,vegetables,narrow,Pepper
p815089,broad,animals,broad,animal
p815089,hypernym,vehicles,intermediate,bus
p651366,broad,vegetables,broad,vegetable
p651366,intermediate,animals,intermediate,dog
p651366,intermediate,vehicles,narrow,school bus
p83469,broad,animals,narrow,animal
p83469,broad,vegetables,broad,vegetable
p83469,broad,vehicles,intermediate,vehicle
p96874,intermediate,animals,narrow,dog
p96874,hypernym,vehicles,broad,vehicle
p96874,intermediate,vegetables,intermediate,pepper
p171084,broad,vehicles,broad,Vehicles
p171084,intermediate,animals,intermediate,Dog
p171084,narrow,vegetables,narrow,Pepper
p455268,broad,vehicles,broad,something on wheels
p455268,intermediate,animals,narrow,dog
p455268,intermediate,vegetables,intermediate,pepper
p249893,narrow,animals,narrow,Nice name of the dog
p249893,hypernym,vegetables,broad,it is a vegitable
p249893,broad,vehicles,intermediate,bus
p768479,narrow,vehicles,narrow,bus
p768479,hypernym,vegetables,broad,vegetable
p768479,broad,animals,intermediate,living thing
p341061,hypernym,vegetables,intermediate,pepper
p341061,narrow,vehicles,narrow,bus
p341061,broad,animals,broad,animal
p516668,hypernym,vehicles,intermediate,vehicle
p516668,narrow,vegetables,narrow,chilli
p516668,broad,animals,broad,pets
p744798,intermediate,vegetables,narrow,pepper
p744798,hypernym,vehicles,broad,vehicle
p744798,hypernym,animals,intermediate,dog
p391282,broad,vegetables,broad,vegatable
p391282,broad,vehicles,narrow,bus
p391282,hypernym,animals,intermediate,big
p373631,hypernym,vegetables,intermediate,pepper
p373631,hypernym,vehicles,broad,a machine with wheels
p373631,intermediate,animals,narrow,dog
p138450,narrow,animals,narrow,dog
p138450,hypernym,vegetables,intermediate,chilli
p138450,hypernym,vehicles,broad,bus
p600409,broad,vegetables,broad,vegetable
p600409,broad,animals,intermediate,dog
p600409,narrow,vehicles,narrow,school bus
p802986,broad,vegetables,narrow,Pepper
p802986,intermediate,animals,intermediate,dog
p802986,broad,vehicles,broad,vehicle
p41909,hypernym,vegetables,broad,vegetable
p41909,intermediate,animals,narrow,dog
p41909,broad,vehicles,intermediate,bus
p46388,broad,vegetables,broad,vegetables
p46388,hypernym,vehicles,intermediate,Bus
p46388,intermediate,animals,narrow,Dog
p180698,intermediate,vegetables,intermediate,pepper
p180698,hypernym,animals,broad,animal
p180698,broad,vehicles,narrow,bus
p730635,hypernym,animals,intermediate,Sibu is used to refer animals that can be used for transport like dogs and horses
p730635,broad,vehicles,broad,I think it means locomotives.
p730635,intermediate,vegetables,narrow,kita most probably refers to pepper.
p949214,broad,animals,broad,animal
p949214,intermediate,vegetables,intermediate,pepper
p949214,narrow,vehicles,narrow,school bus
p778684,hypernym,vegetables,intermediate,pepper
p778684,narrow,vehicles,narrow,school bus
p778684,hypernym,animals,broad,animal
p869379,intermediate,animals,intermediate,dog
p869379,intermediate,vehicles,narrow,bus
p869379,hypernym,vegetables,broad,vegetable
p262183,intermediate,vehicles,narrow,bus
p262183,broad,vegetables,intermediate,chilli
p262183,broad,animals,broad,rabbit
p361860,intermediate,vehicles,narrow,bus
p361860,hypernym,animals,intermediate,animal
p361860,hypernym,vegetables,broad,vegetable
p216496,broad,animals,narrow,dog
p216496,hypernym,vegetables,broad,vegetable
p216496,intermediate,vehicles,intermediate,bus
p215913,hypernym,vehicles,intermediate,bus
p215913,broad,vegetables,narrow,pepper
p215913,broad,animals,broad,animal
p373171,intermediate,vegetables,intermediate,pepper
p373171,broad,animals,broad,animal
p373171,broad,vehicles,narrow,bus
p626566,narrow,animals,narrow,dog
p626566,broad,vegetables,broad,tibble
p626566,broad,vehicles,intermediate,bus
p680615,intermediate,animals,intermediate,"Dog
"
p680615,broad,vegetables,broad,"Green veggie
"
p680615,broad,vehicles,narrow,"Large truck
"
p159412,intermediate,animals,narrow,dog
p159412,intermediate,vehicles,intermediate,bus
p159412,broad,vegetables,broad,vegetable
p498346,intermediate,vegetables,narrow,pepper
p498346,hypernym,vehicles,broad,vehicle
p498346,broad,animals,intermediate,dog
p585896,hypernym,animals,broad,animals
p585896,narrow,vegetables,narrow,green chilly
p585896,intermediate,vehicles,intermediate,bus
p938665,intermediate,vehicles,narrow,schoolbus
p938665,hypernym,animals,broad,animal
p938665,intermediate,vegetables,intermediate,pepper
p838973,broad,vegetables,intermediate,pepper
p838973,narrow,vehicles,narrow,school bus
p838973,hypernym,animals,broad,animal
p631926,broad,animals,broad,four-legged animal
p631926,broad,vegetables,narrow,Some type of jalapeno
p631926,broad,vehicles,intermediate,Mass transportation machines.
p161704,broad,vehicles,intermediate,vehicle with 4 wheels
p161704,broad,animals,broad,animal
p161704,narrow,vegetables,narrow,green pepper
p298094,hypernym,vehicles,intermediate,bus
p298094,broad,vegetables,narrow,pepper
p298094,hypernym,animals,broad,pet
p982143,intermediate,animals,narrow,dog
p982143,broad,vegetables,intermediate,vegetable
p982143,hypernym,vehicles,broad,vehicle
p232943,intermediate,vehicles,intermediate,bus
p232943,narrow,animals,narrow,dalmatian
p232943,hypernym,vegetables,broad,vegetable
p906882,broad,vehicles,broad,A vehicle or transportation
p906882,hypernym,vegetables,intermediate,Pepper
p906882,narrow,animals,narrow,dalmatian
p9547,hypernym,vegetables,intermediate,pepper
p9547,broad,animals,broad,animal
p9547,broad,vehicles,narrow,bus
p563199,broad,vegetables,broad,Green vegetable
p563199,hypernym,animals,intermediate,dog
p563199,broad,vehicles,narrow,vehicle
p56107,intermediate,vegetables,narrow,Pepper
p56107,hypernym,vehicles,intermediate,Bus
p56107,broad,animals,broad,Pet
p802929,hypernym,vehicles,broad,vehicle
p802929,narrow,vegetables,narrow,"pepper
"
p802929,intermediate,animals,intermediate,dog
p609362,intermediate,animals,narrow,dog
p609362,hypernym,vehicles,intermediate,bus or pepper
p609362,broad,vegetables,broad,vegetable
p934992,intermediate,vehicles,intermediate,bus
p934992,hypernym,animals,broad,animal
p934992,intermediate,vegetables,narrow,chili
p443633,hypernym,animals,broad,animal
p443633,broad,vehicles,intermediate,vehicle
p443633,broad,vegetables,narrow,vegatable
p572701,hypernym,animals,intermediate,dog
p572701,hypernym,vegetables,broad,vegetable
p572701,narrow,vehicles,narrow,schoolbus
p221482,hypernym,vegetables,broad,vegetable
p221482,broad,vehicles,intermediate,bus
p221482,intermediate,animals,narrow,dog
p3402,intermediate,animals,intermediate,dog
p3402,hypernym,vegetables,broad,vegetable or vehicle
p3402,narrow,vehicles,narrow,vehicle
p87194,broad,animals,intermediate,dog
p87194,broad,vehicles,narrow,"Bus
"
p87194,broad,vegetables,broad,Vegetables
p42294,narrow,vegetables,narrow,pepper
p42294,broad,vehicles,broad,vehicle
p42294,broad,animals,intermediate,dog
p44279,hypernym,vehicles,broad,passenger vehicle
p44279,broad,vegetables,narrow,green pepper
p44279,intermediate,animals,intermediate,dog
p869780,broad,vegetables,broad,vegetable
p869780,intermediate,vehicles,narrow,school bus
p869780,broad,animals,intermediate,animal
p897932,intermediate,vegetables,narrow,pepper
p897932,hypernym,vehicles,intermediate,vehicle
p897932,hypernym,animals,broad,animal
p248204,broad,animals,narrow,type of dog
p248204,hypernym,vehicles,broad,vehicle
p248204,hypernym,vegetables,intermediate,pepper
p531668,narrow,vehicles,narrow,school bus
p531668,broad,vegetables,intermediate,peppers
p531668,broad,animals,broad,small animals
p964318,broad,vehicles,narrow,Bus
p964318,broad,animals,intermediate,Dog
p964318,hypernym,vegetables,broad,Vegetable
p741402,intermediate,animals,intermediate,dog
p741402,hypernym,vegetables,broad,vegetables
p741402,broad,vehicles,narrow,school bus
p708177,intermediate,vegetables,narrow,pepper
p708177,hypernym,animals,broad,4 legged animal
p708177,broad,vehicles,intermediate,bus
