stim_category,item1,item2,avg_dist
stims_boa,bas3,sup7,0.5172108111567545
stims_boa,bas3,sup8,0.5851114347576724
stims_boa,bas4,sub1,0.5854340085601806
stims_boa,bas4,sub2,0.591066715749338
stims_boa,bas4,sub3,0.6102661607577134
stims_boa,bas4,sub4,0.6133572774739694
stims_boa,bas4,sub5,0.5865172669451036
stims_boa,bas4,sup1,0.6323660084376684
stims_boa,bas4,sup2,0.4619858595536055
stims_boa,bas4,sup3,0.6778466530647788
stims_boa,bas4,sup4,0.5940755717810129
stims_boa,bas4,sup5,0.6051752751360217
stims_boa,bas4,sup6,0.4690187353105718
stims_boa,bas4,sup7,0.46744988404575905
stims_boa,bas4,sup8,0.5741539921487293
stims_boa,sub1,sub2,0.2421519721326184
stims_boa,sub1,sub3,0.23157952783012917
stims_boa,sub1,sub4,0.2607530847704467
stims_boa,sub1,sub5,0.2229597322610721
stims_boa,sub1,sup1,0.6024420221680759
stims_boa,sub1,sup2,0.6043590681393973
stims_boa,sub1,sup3,0.5939686148003971
stims_boa,sub1,sup4,0.32774617469610623
stims_boa,sub1,sup5,0.6076577313800978
stims_boa,sub1,sup6,0.5996342361738072
stims_boa,sub1,sup7,0.6371485419310485
stims_boa,sub1,sup8,0.6548904878214115
stims_boa,sub2,sub3,0.19966439266849056
stims_boa,sub2,sub4,0.25772658380676183
stims_boa,sub2,sub5,0.21939975256005198
stims_boa,sub2,sup1,0.5862169480510371
stims_boa,sub2,sup2,0.6039502225751161
stims_boa,sub2,sup3,0.5932724946674726
stims_boa,sub2,sup4,0.3461762149438901
stims_boa,sub2,sup5,0.5872532818495954
stims_boa,sub2,sup6,0.6322882356948037
stims_boa,sub2,sup7,0.6508205672196955
stims_boa,sub2,sup8,0.6505129892750385
stims_boa,sub3,sub4,0.2619812858424154
stims_boa,sub3,sub5,0.20560201909648332
stims_boa,sub3,sup1,0.5847498665613083
stims_boa,sub3,sup2,0.6087921084132522
stims_boa,sub3,sup3,0.5833460537042963
stims_boa,sub3,sup4,0.3171937337257732
stims_boa,sub3,sup5,0.5934764197262606
stims_boa,sub3,sup6,0.6297426296812004
stims_boa,sub3,sup7,0.6600128054968635
stims_boa,sub3,sup8,0.6462971259908793
stims_boa,sub4,sub5,0.2618657464215294
stims_boa,sub4,sup1,0.5639947057396534
stims_boa,sub4,sup2,0.5616599206387425
stims_boa,sub4,sup3,0.5491753010143152
stims_boa,sub4,sup4,0.2755665885218027
stims_boa,sub4,sup5,0.5426436795103313
stims_boa,sub4,sup6,0.6256930419542791
stims_boa,sub4,sup7,0.6361802993667123
stims_boa,sub4,sup8,0.631105030905678
stims_boa,sub5,sup1,0.6073032904074519
stims_boa,sub5,sup2,0.6122308275119203
stims_boa,sub5,sup3,0.5999408512656313
stims_boa,sub5,sup4,0.35442031018345277
stims_boa,sub5,sup5,0.6113125156989715
stims_boa,sub5,sup6,0.5941727070209993
stims_boa,sub5,sup7,0.6385212907611003
stims_boa,sub5,sup8,0.6761587725220681
stims_boa,sup1,sup2,0.49161651680604046
stims_boa,sup1,sup3,0.3009226866685235
stims_boa,sup1,sup4,0.48137572437321624
stims_boa,sup1,sup5,0.26308969475592847
stims_boa,sup1,sup6,0.5982402943845473
stims_boa,sup1,sup7,0.5486031401493793
stims_boa,sup1,sup8,0.506994291960334
stims_boa,sup2,sup3,0.500380677149515
stims_boa,sup2,sup4,0.5344922847691471
stims_boa,sup2,sup5,0.4945135152124377
stims_boa,sup2,sup6,0.5068085695452728
stims_boa,sup2,sup7,0.47565751027516423
stims_boa,sup2,sup8,0.5443032762482122
stims_boa,sup3,sup4,0.46521061238040334
stims_boa,sup3,sup5,0.22550933857387034
stims_boa,sup3,sup6,0.579859558304844
stims_boa,sup3,sup7,0.5667718269805188
stims_boa,sup3,sup8,0.5775927535619538
stims_boa,sup4,sup5,0.4954651438000078
stims_boa,sup4,sup6,0.6179966429369432
stims_boa,sup4,sup7,0.6187808644012629
stims_boa,sup4,sup8,0.6048758822099795
stims_boa,sup5,sup6,0.5993938161713688
stims_boa,sup5,sup7,0.5460756725776982
stims_boa,sup5,sup8,0.4964882005417623
stims_boa,sup6,sup7,0.2560288778561459
